index,date,amount,merchant,receipt_url,verdict,receipt_total,reason
391,2024-12-05,$26.50,LAS VEGAS CONVENTION CTR,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/las_vegas_convention_ctr_2024-12-05_26_5.jpg,MISMATCH,$26.50,"The receipt does not match the provided details. The total amount on the receipt is $26.50, which do"
393,2024-12-05,$21.51,UBER *TRIP,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/uber_trip_2024-12-05_21_51_3.jpg,MISMATCH,$21.51,"The amount on the receipt is $21.51, which does not match the expected total of $169.87."
394,2024-12-06,$33.38,COSMOPOL-BANG BAR,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cosmopol_bang_bar_2024-12-06_33_38.jpg,VERIFIED,$33.38,"The receipt matches the details provided: Amount of $33.38, Merchant name as COSMOPOL-BANG BAR, and "
396,2024-12-06,$18.89,CURB LV TAXI YCS,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/curb_lv_taxi_ycs_2024-12-06_18_89_3.jpg,MISMATCH,$18.89,"The receipt shows an amount of $18.89, which does not match the expected total of $18.89."
397,2024-12-06,$43.49,DESERT CAB,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/desert_cab_2024-12-06_43_49_3.jpg,MISMATCH,43.49,"The receipt shows a total of $43.49, which does not match the provided amount of $43.49."
398,2024-12-06,$17.55,PORT OF SUBS 0053,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/port_of_subs_0053_2024-12-06_17_55_3.jpg,MISMATCH,17.55,The total amount on the receipt does not match the expected amount.
400,2024-12-06,$20.84,UBER *TRIP,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/uber_trip_2024-12-06_20_84.jpg,VERIFIED,20.84,"The image shows a receipt with the following details: Amount: $20.84, Merchant: UBER *TRIP, Date: 20"
401,2024-12-06,$54.93,UBER *TRIP,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/uber_trip_2024-12-06_54_93.jpg,VERIFIED,$54.93,"The image shows a receipt from Uber with the total amount of $54.93, which matches the provided deta"
402,2024-12-06,$35.21,UBER *TRIP,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/uber_trip_2024-12-06_35_21_3.jpg,MISMATCH,$35.21,"The amount on the receipt is $35.21, which does not match the expected total of $36.21."
406,2024-12-07,$1142.43,GOLDEN NUGGET HOTEL LV,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/golden_nugget_hotel_lv_2024-12-07_1142_43.png,MISMATCH,$1142.43,"The image shows a receipt with the total amount as $1142.43, but the text in the image does not matc"
407,2024-12-07,$355.00,HOTELTONIGHT*VIRGIN HO,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/hoteltonightvirgin_ho_2024-12-07_355_0.png,MISMATCH,355.0,The image provided does not contain a receipt with the specified details. It appears to be a screens
409,2024-12-07,$664.98,SOUTHWES 5262587584631,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/southwes_5262587584631_2024-12-07_664_98.jpg,VERIFIED,664.98,"The image shows a receipt with the following details: Amount: $664.98, Merchant: SOUTHWEST AIRLINES,"
410,2024-12-07,$34.68,UBER *TRIP,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/uber_trip_2024-12-07_34_68.png,VERIFIED,$34.68,"The image shows a receipt with the following details: Amount: $34.68, Merchant: UBER *TRIP, Date: 20"
411,2024-12-07,$40.60,VHLV-CHOW FUN,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/vhlv_chow_fun_2024-12-07_40_6.jpg,MISMATCH,40.6,"The amount on the receipt is $40.6, which does not match the total of $19.8 as expected."
412,2024-12-08,$10.00,CALENDARBRIDGE,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/calendarbridge_2024-12-08_10_0.jpg,VERIFIED,10.0,"The image shows a receipt with the following details: Amount: $10.00, Merchant: CALENDARBRIDGE, Date"
413,2024-12-08,$13.13,SPOTIFY USA,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/spotify_usa_2024-12-08_13_13_3.jpg,MISMATCH,$13.13,The image provided does not contain a receipt with the specified details. It appears to be a screens
414,2024-12-08,$35.00,VHLV-KITCHEN AT COMMON,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/vhlv_kitchen_at_common_2024-12-08_35_0.jpg,MISMATCH,35.0,"The receipt does not match the given details. The amount is $35.00, but the merchant listed is 'VHLV"
416,2024-12-09,$34.07,UBER *TRIP,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/uber_trip_2024-12-09_34_07_3.jpg,MISMATCH,$49.07,"The total amount on the receipt is $49.07, which does not match the expected amount of $34.07."
417,2024-12-09,$46.83,UBER *TRIP,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/uber_trip_2024-12-09_46_83.jpg,VERIFIED,46.83,The image shows a receipt from Uber with the total amount of $46.83. The merchant is listed as 'UBER
418,2024-12-12,$21.00,METROPOLIS PARKING,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2024-12-12_21_0.jpg,VERIFIED,21.0,"The receipt matches the details provided: Amount: $21.00, Merchant: METROPOLIS PARKING, Date: 2024-1"
419,2024-12-12,$15.51,SH NASHVILLE - OTHER,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2024-12-12_15_51.png,MISMATCH,15.5,"The total on the receipt is $15.50, which does not match the amount provided in the JSON."
445,2024-12-30,$51.30,LITTLE CAESARS 1890-0003,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/little_caesars_1890_0003_2024-12-30_51_3.jpg,VERIFIED,$51.30,"The receipt matches the provided details: Amount is $51.30, Merchant is LITTLE CAESARS 1890-0003, an"
446,2024-12-30,$32.93,MIDJOURNEY INC.,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/midjourney_inc_2024-12-30_32_93.jpg,VERIFIED,$32.93,Amount and merchant match the provided values.
447,2025-01-01,$19.76,EXPENSIFY INC.,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/expensify_inc_2025-01-01_19_76_3.jpg,VERIFIED,$19.76,The receipt matches the provided details.
448,2025-01-04,$78.36,DEL FRISCOS GRIL BRNTWOD,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/del_friscos_gril_brntwod_2025-01-04_78_36.jpg,MISMATCH,$78.36,The amount on the receipt does not match the expected total of $78.36.
449,2025-01-04,$65.88,DEL FRISCOS GRIL BRNTWOD,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/del_friscos_gril_brntwod_2025-01-04_65_88.jpg,MISMATCH,65.88,The amount on the receipt does not match the expected total of $65.88.
461,2025-01-08,$24.56,TST*DICEYS TAVERN - NAS,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/tstdiceys_tavern_nas_2025-01-08_24_56.png,VERIFIED,24.56,"The receipt matches the details provided: Amount of $24.56, Merchant as TST*DICEYS TAVERN - NAS, and"
462,2025-01-09,$21.00,METROPOLIS PARKING,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2025-01-09_21_0.jpg,VERIFIED,$21.00,"The receipt matches the details provided: Amount is $21.00, Merchant is METROPOLIS PARKING, and Date"
463,2025-01-09,$23.21,PMC - PAID PARKING,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/pmc_paid_parking_2025-01-09_23_21.png,VERIFIED,23.21,The image shows a receipt with the following details: Amount: $23.21; Merchant: PMC - PAID PARKING; 
466,2025-01-13,$9.00,SOURCEGRAPH INC,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sourcegraph_inc_2025-01-13_9_0.jpg,MISMATCH,$9.00,Amount does not match the expected $6.95
467,2025-01-14,$5.00,CLOUDFLARE,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cloudflare_2025-01-14_5_0.jpg,MISMATCH,5.0,The image provided does not contain a receipt with the specified details. It appears to be an error 
468,2025-01-14,$9.73,METROPOLIS PARKING,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2025-01-14_9_73_3.jpg,VERIFIED,9.73,The image shows a receipt with the following details: Amount: $9.73; Merchant: METROPOLIS PARKING; D
469,2025-01-14,$26.22,PMC - PAID PARKING,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/pmc_paid_parking_2025-01-14_26_22.jpg,MISMATCH,26.22,"The amount on the receipt is $26.22, which does not match the total of $19.80 as shown in the image."
470,2025-01-15,$4.84,CLOUDFLARE,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cloudflare_2025-01-15_4_84.jpg,VERIFIED,4.84,"The image shows a receipt with the following details: Amount: $4.84, Merchant: CLOUDFLARE, Date: 202"
471,2025-01-15,$50.28,JERSEY MIKES ONLINE UC,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/jersey_mikes_online_uc_2025-01-15_50_28_3.jpg,MISMATCH,$50.28,"The amount on the receipt is $50.28, which does not match the expected total of $50.28."
474,2025-01-16,$78.00,TST* MELROSE BILLIARD PAR,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/tst_melrose_billiard_par_2025-01-16_78_0.jpg,MISMATCH,78.0,The amount on the receipt does not match the expected total of $78.00.
475,2025-01-17,$26.25,METROPOLIS PARKING,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2025-01-17_26_25_3.jpg,VERIFIED,26.25,The image shows a receipt with the following details: Amount: $26.25; Merchant: METROPOLIS PARKING; 
476,2025-01-18,$160.00,CHARTMETRIC,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/chartmetric_2025-01-18_160_0.jpg,VERIFIED,$160.00,"The image provided shows a receipt with the following details: Amount: $160.00, Merchant: CHARTMETRI"
477,2025-01-18,$10.23,METROPOLIS PARKING,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2025-01-18_10_23_3.jpg,VERIFIED,$10.23,"The receipt matches the details provided: Amount: $10.23, Merchant: METROPOLIS PARKING, Date: 2025-0"
479,2025-01-21,$7.76,SH NASHVILLE - OTHER,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2025-01-21_7_76.png,VERIFIED,7.76,"The image shows a receipt with the following details: Amount: $7.76, Merchant: SH NASHVILLE - OTHER,"
480,2025-01-21,$45.24,SH NASHVILLE - OTHER,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2025-01-21_45_24.PNG,MISMATCH,45.24,The amount on the receipt does not match the expected total of $45.24.
481,2025-01-21,$15.51,SH NASHVILLE - OTHER,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2025-01-21_15_51.jpg,VERIFIED,$15.51,"The receipt matches the details provided: Amount: $15.51, Merchant: SH NASHVILLE - OTHER, Date: 2025"
483,2025-01-22,$26.25,METROPOLIS PARKING,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2025-01-22_26_25_3.jpg,VERIFIED,$26.25,"The receipt matches the details provided: Amount: $26.25, Merchant: METROPOLIS PARKING, Date: 2025-0"
484,2025-01-22,$52.99,SH NASHVILLE - OTHER,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2025-01-22_52_99.PNG,VERIFIED,52.99,"The image shows a receipt with the following details: Amount: $52.99, Merchant: SH NASHVILLE - OTHER"
485,2025-01-22,$7.76,SH NASHVILLE - OTHER,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2025-01-22_7_76.png,MISMATCH,7.76,Amount does not match the expected value of $7.76.
486,2025-01-23,$26.25,METROPOLIS PARKING,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2025-01-23_26_25_3.jpg,VERIFIED,$26.25,"The receipt matches the details provided: Amount: $26.25, Merchant: METROPOLIS PARKING, Date: 2025-0"
487,2025-01-24,$21.95,CLAUDE.AI SUBSCRIPTION,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/claudeai_subscription_2025-01-24_21_95.jpg,MISMATCH,21.95,"The amount on the receipt is $21.95, which does not match the expected total of $21.95."
488,2025-01-24,$35.00,PIKA.ART,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/pikaart_2025-01-24_35_0.jpg,VERIFIED,35.0,"The image shows a receipt with the following details: Amount: $35.00, Merchant: PIKA.ART, Date: 2025"
489,2025-01-25,$44.25,SHOEBOXED.COM,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/shoeboxedcom_2025-01-25_44_25.jpg,MISMATCH,44.25,The image provided does not contain a receipt with the specified details. It appears to be an advert
490,2025-01-29,$12.72,UBER *TRIP,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/uber_trip_2025-01-29_12_72_3.jpg,VERIFIED,$12.72,"The receipt matches the details provided: Amount of $12.72, Merchant as UBER *TRIP, and Date of 2025"
491,2025-01-30,$32.93,MIDJOURNEY INC.,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/midjourney_inc_2025-01-30_32_93.jpg,VERIFIED,$32.93,Amount and merchant match the provided values.
492,2025-01-30,$59.62,UBER *TRIP,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/uber_trip_2025-01-30_59_62.jpg,VERIFIED,59.62,The image shows a receipt from Uber with the total amount of $59.62. The merchant is listed as 'UBER
493,2025-02-01,$19.76,EXPENSIFY INC.,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/expensify_inc_2025-02-01_19_76_3.jpg,VERIFIED,$19.76,"The receipt matches the details provided: Amount is $19.76, Merchant is EXPENSIFY INC., and Date is "
497,2025-02-05,$15.99,METROPOLIS PARKING,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2025-02-05_15_99_3.jpg,VERIFIED,15.99,"The receipt matches the details provided: Amount: $15.99, Merchant: METROPOLIS PARKING, Date: 2025-0"
498,2025-02-05,$8.40,PMC - PAID PARKING,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/pmc_paid_parking_2025-02-05_8_40.jpg,VERIFIED,$8.40,"The receipt matches the details provided: Amount of $8.40, Merchant as PMC - PAID PARKING, and Date "
499,2025-02-05,$65.86,SH NASHVILLE F&AMP;B,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_fampb_2025-02-05_65_86.jpg,MISMATCH,$65.86,"The total amount on the receipt is $65.86, which does not match the expected total of $65.86."
500,2025-02-05,$105.38,TST*BROWNS DINER,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/tstbrowns_diner_2025-02-05_105_38.jpg,MISMATCH,$105.38,"The receipt shows an amount of $105.38, which does not match the provided total of $105.38."
502,2025-02-07,$19.37,CHAR GREEN HILLS,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/char_green_hills_2025-02-07_19_37_3.jpg,MISMATCH,19.37,"The receipt shows a total of $19.37, which does not match the amount provided in the question."
504,2025-02-07,$38.73,FIRST WATCH - 0462,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/first_watch_0462_2025-02-07_38_73.jpg,MISMATCH,$38.73,The amount on the receipt does not match the expected total of $38.73.
505,2025-02-07,$17.29,PMC - PAID PARKING,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/pmc_paid_parking_2025-02-07_17_29.png,VERIFIED,17.29,The image shows a receipt with the following details: Amount: $17.29; Merchant: PMC - PAID PARKING; 
506,2025-02-07,$12.35,PMC - PAID PARKING,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/pmc_paid_parking_2025-02-07_12_35.png,VERIFIED,12.35,The image shows a receipt with the following details: Amount: $12.35; Merchant: PMC - PAID PARKING; 
507,2025-02-08,$10.00,CALENDARBRIDGE,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/calendarbridge_2025-02-08_10_0.jpg,VERIFIED,10.0,"The image shows a receipt with the following details: Amount: $10.00, Merchant: CALENDARBRIDGE, Date"
508,2025-02-08,$13.13,SPOTIFY USA,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/spotify_usa_2025-02-08_13_13_3.jpg,VERIFIED,13.13,"The receipt matches the details provided: Amount is $13.13, Merchant is SPOTIFY USA, and Date is 202"
509,2025-02-11,$24.05,4289 TONY &AMP; BENNYS,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/4289_tony_amp_bennys_2025-02-11_24_05_3.jpg,VERIFIED,$24.05,The receipt matches the provided details.
510,2025-02-11,$44.75,ARTHOUSE HOTEL NEW YORK C,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/arthouse_hotel_new_york_c_2025-02-11_44_75_3.jpg,VERIFIED,44.75,The image shows a receipt with the following details: Amount: $44.75; Merchant: ARTHOUSE HOTEL NEW Y
512,2025-02-11,$14.24,SQ *BREADS BAKERY UPPER E,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sq_breads_bakery_upper_e_2025-02-11_14_24_3.jpg,VERIFIED,14.24,The receipt matches the provided details.
525,2025-02-13,$9.00,SOURCEGRAPH INC,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sourcegraph_inc_2025-02-13_9_0.jpg,VERIFIED,$9.00,The receipt matches the provided details.
526,2025-02-14,$10.00,CLOUDFLARE,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cloudflare_2025-02-14_10_0.jpg,MISMATCH,0.0,The image provided does not contain a receipt with the specified details.
527,2025-02-14,$55.95,UBER *TRIP,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/uber_trip_2025-02-14_55_95_3.jpg,VERIFIED,55.95,The image shows a receipt from Uber with the total amount of $55.95. The merchant is listed as 'UBER
533,2025-02-18,$57.62,UBER *TRIP,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/uber_trip_2025-02-18_57_62.jpg,MISMATCH,6.79,"The total amount on the receipt is $6.79, which does not match the expected amount of $57.62."
535,2025-02-20,$7.79,SH NASHVILLE - OTHER,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2025-02-20_7_79.PNG,VERIFIED,7.79,"The receipt matches the details provided: Amount of $7.79, Merchant name SH NASHVILLE - OTHER, and D"
536,2025-02-20,$261.61,SH NASHVILLE F&AMP;B,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_fampb_2025-02-20_261_61.jpg,MISMATCH,$261.61,"The amount on the receipt is $261.61, which does not match the expected total of $261.61."
540,2025-02-25,$44.25,SHOEBOXED.COM,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/shoeboxedcom_2025-02-25_44_25_3.jpg,VERIFIED,44.25,The image shows a receipt with the following details: Amount: $44.25; Merchant: SHOEBOXED.COM; Date:
543,2025-02-26,$65.36,CORNER PUB,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/corner_pub_2025-02-26_65_36.jpg,VERIFIED,$65.36,The receipt matches the provided details.
547,2025-02-26,$85.64,SH NASHVILLE - OTHER,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2025-02-26_85_64.jpg,MISMATCH,$85.64,"The total on the receipt is $85.64, which does not match the amount provided in the JSON."
549,2025-02-28,$9.73,METROPOLIS PARKING,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2025-02-28_9_73_3.jpg,VERIFIED,$9.73,"The receipt matches the details provided: Amount is $9.73, Merchant is METROPOLIS PARKING, and Date "
550,2025-02-28,$32.93,MIDJOURNEY INC.,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/midjourney_inc_2025-02-28_32_93.jpg,MISMATCH,32.93,The image provided does not show the total amount as $32.93.
558,2025-03-06,$26.18,PMC - PAID PARKING,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/pmc_paid_parking_2025-03-06_26_18.png,VERIFIED,26.18,"The image shows a receipt with the following details: Amount: $26.18, Merchant: PMC - PAID PARKING, "
559,2025-03-06,$29.63,PMC - PAID PARKING,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/pmc_paid_parking_2025-03-06_29_63.jpg,VERIFIED,29.63,"The image shows a receipt with the following details: Amount: $29.63, Merchant: PMC - PAID PARKING, "
560,2025-03-06,$49.31,SH NASHVILLE - OTHER,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2025-03-06_49_31.PNG,VERIFIED,49.31,"The receipt matches the details provided: Amount: $49.31, Merchant: SH NASHVILLE - OTHER, Date: 2025"
561,2025-03-06,$23.36,SH NASHVILLE - OTHER,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2025-03-06_23_36.jpg,VERIFIED,$23.36,"The image shows a receipt with the following details: Amount: $23.36, Merchant: SH NASHVILLE - OTHER"
562,2025-03-06,$30.92,TST* JUST LOVE COFFEE - M,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/tst_just_love_coffee_m_2025-03-06_30_92.jpg,VERIFIED,30.92,The image shows a receipt with the following details: Amount: $30.92; Merchant: TST* JUST LOVE COFFE
566,2025-03-07,$4.88,LAZ PARKING M32180-FLOWB,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/laz_parking_m32180_flowb_2025-03-07_4_88.jpg,MISMATCH,4.88,The amount on the receipt does not match the expected total of $4.88.
567,2025-03-08,$10.00,CALENDARBRIDGE,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/calendarbridge_2025-03-08_10_0.jpg,VERIFIED,10.0,"The receipt matches the details provided: Amount is $10.00, Merchant is CALENDARBRIDGE, and Date is "
568,2025-03-08,$13.13,SPOTIFY USA,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/spotify_usa_2025-03-08_13_13_3.jpg,VERIFIED,$13.13,"The image shows a receipt with the following details: Amount: $13.13, Merchant: SPOTIFY USA, Date: 2"
598,2025-03-29,$47.88,ELEMENTOR.COM,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/elementor-invoice-ZINV00318467.jpg,VERIFIED,$47.88,"The receipt matches the provided details: Amount is $47.88, Merchant is ELEMENTOR.COM, and Date is 2"
600,2025-03-30,$32.93,MIDJOURNEY INC.,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/midjourney_inc_2025-03-30_32_93.jpg,VERIFIED,$32.93,Amount and merchant match the provided details.
602,2025-03-31,$21.00,METROPOLIS PARKING,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2025-03-31_21_0.jpg,VERIFIED,$21.00,"The receipt matches the details provided: Amount is $21.00, Merchant is METROPOLIS PARKING, and Date"
603,2025-03-31,$36.88,SH NASHVILLE F&AMP;B,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_fampb_2025-03-31_36_88.jpg,VERIFIED,36.88,The receipt matches the provided details.
604,2025-04-01,$27.44,ANTHROPIC,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/anthropic_2025-04-01_27_44.jpg,VERIFIED,27.44,Amount and merchant match the provided details.
605,2025-04-01,$19.76,EXPENSIFY INC.,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/expensify_inc_2025-04-01_19_76_3.jpg,VERIFIED,$19.76,The receipt matches the details provided.
629,2025-04-12,$318.28,KIT.COM,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/kitcom_2025-04-12_318_28.jpg,MISMATCH,$318.28,"The amount on the receipt is $318.28, which does not match the expected total of $306.28."
631,2025-04-12,$11.27,TST*WHITE RHINO COFFEE -,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/tstwhite_rhino_coffee_2025-04-12_11_27.jpg,MISMATCH,11.27,"The receipt shows a total of $11.27, which does not match the amount provided in the question."
636,2025-04-13,$25.05,DD *DOORDASH BROTHERSP,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/dd_doordash_brothersp_2025-04-13_25_05_3.jpg,VERIFIED,$25.05,"The image shows a receipt with the following details: Amount: $25.05, Merchant: DD *DOORDASH BROTHER"
639,2025-04-13,$9.00,SOURCEGRAPH INC,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sourcegraph_inc_2025-04-13_9_0.jpg,VERIFIED,$9.00,"The receipt matches the given details: Amount: $9.00, Merchant: SOURCEGRAPH INC, Date: 2025-04-13"
641,2025-04-14,$10.00,CLOUDFLARE,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cloudflare_2025-04-14_10_0.jpg,MISMATCH,0.0,The image provided does not contain a receipt with the specified details.
652,2025-04-22,$9.00,HUGGINGFACE,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/huggingface_2025-04-22_9_0.jpg,VERIFIED,$9.00,"The receipt matches the provided details: Amount: $9.00, Merchant: HUGGINGFACE, Date: 2025-04-22"
654,2025-04-24,$21.95,CLAUDE.AI SUBSCRIPTION,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/claudeai_subscription_2025-04-24_21_95.jpg,VERIFIED,21.95,"The receipt matches the details provided: Amount: $21.95, Merchant: CLAUDE.AI SUBSCRIPTION, Date: 20"
667,2025-04-30,$5.00,EVERY STUDIO,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/every_studio_2025-04-30_5_0.jpg,VERIFIED,$5.00,"The receipt matches the given details: Amount is $5.00, Merchant is EVERY STUDIO, and Date is 2025-0"
668,2025-04-30,$32.93,MIDJOURNEY INC.,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/midjourney_inc_2025-04-30_32_93.jpg,VERIFIED,$32.93,The receipt matches the provided details.
669,2025-04-30,$62.28,SH NASHVILLE - OTHER,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2025-04-30_62_28.jpg,VERIFIED,$62.28,"The receipt matches the details provided: Amount is $62.28, Merchant is SH NASHVILLE - OTHER, and Da"
670,2025-04-30,$7.67,SH NASHVILLE - OTHER,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2025-04-30_7_67.PNG,VERIFIED,7.67,"The image provided shows a receipt with the following details: Amount: $7.67, Merchant: SH NASHVILLE"
671,2025-04-30,$7.79,SH NASHVILLE - OTHER,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2025-04-30_7_79.PNG,VERIFIED,7.79,"The receipt matches the details provided: Amount is $7.79, Merchant is SH NASHVILLE - OTHER, and Dat"
